date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:39:59	4570/4570	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:00%20GMT	http://docs.opencv.org/java/org/opencv/calib3d/package-tree.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/calib3d/package-tree.html	(from http://docs.opencv.org/java/org/opencv/calib3d/Calib3d.html)
09:40:00	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:01%20GMT	http://docs.opencv.org/java/index.html?org/opencv/calib3d/Calib3d.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/indexda55.html	(from http://docs.opencv.org/java/org/opencv/calib3d/Calib3d.html)
09:40:02	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:03%20GMT	http://docs.opencv.org/java/index.html?org/opencv/android/CameraBridgeViewBase.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/indexb3eb.html	(from http://docs.opencv.org/java/org/opencv/android/CameraBridgeViewBase.html)
09:40:03	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:03%20GMT	http://docs.opencv.org/java/index.html?org/opencv/android/CameraBridgeViewBase.CvCameraViewFrame.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/index5070.html	(from http://docs.opencv.org/java/org/opencv/android/CameraBridgeViewBase.CvCameraViewFrame.html)
09:40:03	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:04%20GMT	http://docs.opencv.org/java/index.html?org/opencv/android/CameraBridgeViewBase.CvCameraViewListener.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/index5eec.html	(from http://docs.opencv.org/java/org/opencv/android/CameraBridgeViewBase.CvCameraViewListener.html)
09:40:08	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:06%20GMT	http://docs.opencv.org/java/index.html?org/opencv/android/CameraBridgeViewBase.CvCameraViewListener2.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/indexed3c.html	(from http://docs.opencv.org/java/org/opencv/android/CameraBridgeViewBase.CvCameraViewListener2.html)
09:40:09	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:10%20GMT	http://docs.opencv.org/java/index.html?org/opencv/android/CameraBridgeViewBase.ListItemAccessor.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/indexf41b.html	(from http://docs.opencv.org/java/org/opencv/android/CameraBridgeViewBase.ListItemAccessor.html)
09:40:13	4618/4618	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:11%20GMT	http://docs.opencv.org/java/org/opencv/objdetect/package-tree.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/objdetect/package-tree.html	(from http://docs.opencv.org/java/org/opencv/objdetect/CascadeClassifier.html)
09:40:19	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:17%20GMT	http://docs.opencv.org/java/index.html?org/opencv/objdetect/CascadeClassifier.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/indexff55.html	(from http://docs.opencv.org/java/org/opencv/objdetect/CascadeClassifier.html)
09:40:20	4901/4901	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:21%20GMT	http://docs.opencv.org/java/org/opencv/imgproc/package-tree.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/imgproc/package-tree.html	(from http://docs.opencv.org/java/org/opencv/imgproc/CLAHE.html)
09:40:21	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:21%20GMT	http://docs.opencv.org/java/index.html?org/opencv/imgproc/CLAHE.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/index932c.html	(from http://docs.opencv.org/java/org/opencv/imgproc/CLAHE.html)
09:40:22	4212/4212	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:22%20GMT	http://docs.opencv.org/java/org/opencv/utils/package-tree.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/utils/package-tree.html	(from http://docs.opencv.org/java/org/opencv/utils/Converters.html)
09:40:22	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:23%20GMT	http://docs.opencv.org/java/index.html?org/opencv/utils/Converters.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/index3796.html	(from http://docs.opencv.org/java/org/opencv/utils/Converters.html)
09:40:27	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:24%20GMT	http://docs.opencv.org/java/index.html?org/opencv/core/Core.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/index6ae9.html	(from http://docs.opencv.org/java/org/opencv/core/Core.html)
09:40:27	257419/257419	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:01%20GMT	http://docs.opencv.org/java/constant-values.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/constant-values.html	(from http://docs.opencv.org/java/org/opencv/calib3d/Calib3d.html)
09:40:28	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:29%20GMT	http://docs.opencv.org/java/index.html?org/opencv/core/Core.MinMaxLocResult.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/index5e7b.html	(from http://docs.opencv.org/java/org/opencv/core/Core.MinMaxLocResult.html)
09:40:30	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:30%20GMT	http://docs.opencv.org/java/index.html?org/opencv/ml/CvANN_MLP.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/index0689.html	(from http://docs.opencv.org/java/org/opencv/ml/CvANN_MLP.html)
09:40:30	7304/7304	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:29%20GMT	http://docs.opencv.org/java/org/opencv/ml/package-tree.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/org/opencv/ml/package-tree.html	(from http://docs.opencv.org/java/org/opencv/ml/CvANN_MLP.html)
09:40:33	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:31%20GMT	http://docs.opencv.org/java/index.html?org/opencv/ml/CvANN_MLP_TrainParams.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/index6095.html	(from http://docs.opencv.org/java/org/opencv/ml/CvANN_MLP_TrainParams.html)
09:40:34	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:35%20GMT	http://docs.opencv.org/java/index.html?org/opencv/ml/CvBoost.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/index6cde.html	(from http://docs.opencv.org/java/org/opencv/ml/CvBoost.html)
09:40:36	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:37%20GMT	http://docs.opencv.org/java/index.html?org/opencv/ml/CvDTree.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/indexd20f.html	(from http://docs.opencv.org/java/org/opencv/ml/CvDTree.html)
09:40:36	718361/718361	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:39:33%20GMT	http://docs.opencv.org/java/index-all.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/index-all.html	(from http://docs.opencv.org/java/overview-summary.html)
09:40:36	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:37%20GMT	http://docs.opencv.org/java/index.html?org/opencv/ml/CvDTreeParams.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/indexbf29.html	(from http://docs.opencv.org/java/org/opencv/ml/CvDTreeParams.html)
09:40:37	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:38%20GMT	http://docs.opencv.org/java/index.html?org/opencv/ml/CvERTrees.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/index94f1.html	(from http://docs.opencv.org/java/org/opencv/ml/CvERTrees.html)
09:40:38	2681/2681	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Jan%202015%2002:40:39%20GMT	http://docs.opencv.org/java/index.html?org/opencv/core/CvException.html	C:/My%20Web%20Sites/OpenCV%20Java%20API/docs.opencv.org/java/index572e.html	(from http://docs.opencv.org/java/org/opencv/core/CvException.html)
